mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
657.5705994129181,109.83000921160952,0.09871249198913574,0.01793593094288017,0.0001,0.0001,"{'alpha': 0.0001, 'learning_rate_init': 0.0001}",0.9135714285714286,0.9142857142857143,0.9307142857142857,0.9228571428571428,0.9264285714285714,0.9215714285714286,0.006721880203439189,2
242.37598190307617,48.7482114740716,0.127142333984375,0.02763965185362732,0.0001,0.001,"{'alpha': 0.0001, 'learning_rate_init': 0.001}",0.92,0.9221428571428572,0.9278571428571428,0.9257142857142857,0.9092857142857143,0.921,0.006461818787370656,4
59.19296169281006,25.510479284890085,0.09887328147888183,0.019119486792716966,0.0001,0.01,"{'alpha': 0.0001, 'learning_rate_init': 0.01}",0.8935714285714286,0.8957142857142857,0.9264285714285714,0.9007142857142857,0.8628571428571429,0.8958571428571428,0.020260547769454962,13
46.88105030059815,10.962821259080936,0.1157461166381836,0.02816160880820174,0.0001,0.1,"{'alpha': 0.0001, 'learning_rate_init': 0.1}",0.915,0.8928571428571429,0.8578571428571429,0.9014285714285715,0.18928571428571428,0.7512857142857141,0.2816342250769496,17
680.1213822841644,105.621089416043,0.11877756118774414,0.04021896998979092,0.001,0.0001,"{'alpha': 0.001, 'learning_rate_init': 0.0001}",0.9135714285714286,0.9142857142857143,0.9307142857142857,0.9228571428571428,0.9264285714285714,0.9215714285714286,0.006721880203439189,2
271.54297857284547,46.00238395501,0.1214836597442627,0.03480035527233976,0.001,0.001,"{'alpha': 0.001, 'learning_rate_init': 0.001}",0.92,0.9221428571428572,0.9271428571428572,0.9257142857142857,0.9092857142857143,0.9208571428571428,0.006314867458657255,5
82.48201756477356,3.950730988336553,0.1043027400970459,0.010046783409296503,0.001,0.01,"{'alpha': 0.001, 'learning_rate_init': 0.01}",0.9035714285714286,0.9178571428571428,0.925,0.9085714285714286,0.8578571428571429,0.9025714285714287,0.023550206897136997,10
44.764473009109494,9.643460225445166,0.10599303245544434,0.04195127218586308,0.001,0.1,"{'alpha': 0.001, 'learning_rate_init': 0.1}",0.9164285714285715,0.8571428571428571,0.8564285714285714,0.17214285714285715,0.8785714285714286,0.7361428571428571,0.28284076431657384,19
661.618974494934,89.33583489619502,0.08730354309082031,0.02152402547509001,0.01,0.0001,"{'alpha': 0.01, 'learning_rate_init': 0.0001}",0.9135714285714286,0.9142857142857143,0.925,0.9228571428571428,0.9264285714285714,0.9204285714285714,0.005432329526237579,6
243.26567516326904,31.789688049432094,0.12051677703857422,0.031107442213474192,0.01,0.001,"{'alpha': 0.01, 'learning_rate_init': 0.001}",0.92,0.9221428571428572,0.9107142857142857,0.9257142857142857,0.9092857142857143,0.9175714285714285,0.006461818787370668,8
68.51476874351502,7.49598845633952,0.1308061122894287,0.03934224238388108,0.01,0.01,"{'alpha': 0.01, 'learning_rate_init': 0.01}",0.9264285714285714,0.8907142857142857,0.8671428571428571,0.8592857142857143,0.8707142857142857,0.8828571428571429,0.02412552209438233,14
47.04456825256348,2.1932335151792253,0.12975220680236815,0.015024203381673257,0.01,0.1,"{'alpha': 0.01, 'learning_rate_init': 0.1}",0.8564285714285714,0.8935714285714286,0.8571428571428571,0.8578571428571429,0.905,0.874,0.020964498660393318,15
573.8824632644653,16.135780171982436,0.04329986572265625,0.03278521747330592,0.1,0.0001,"{'alpha': 0.1, 'learning_rate_init': 0.0001}",0.9121428571428571,0.9135714285714286,0.9292857142857143,0.9214285714285714,0.9185714285714286,0.9189999999999999,0.00613787173112594,7
241.08673939704894,13.75036583614651,0.09283914566040039,0.008443307583729092,0.1,0.001,"{'alpha': 0.1, 'learning_rate_init': 0.001}",0.925,0.9228571428571428,0.9178571428571428,0.9228571428571428,0.93,0.9237142857142857,0.003922722919356029,1
55.30947904586792,19.739559752855115,0.11183309555053711,0.03229934491793777,0.1,0.01,"{'alpha': 0.1, 'learning_rate_init': 0.01}",0.9228571428571428,0.895,0.9321428571428572,0.8678571428571429,0.8971428571428571,0.9029999999999999,0.02270215309396975,9
42.39448704719543,6.815834160564513,0.09001374244689941,0.017711719132229988,0.1,0.1,"{'alpha': 0.1, 'learning_rate_init': 0.1}",0.8621428571428571,0.8671428571428571,0.8571428571428571,0.8564285714285714,0.8957142857142857,0.8677142857142857,0.014522326231829164,16
276.3047746181488,7.402715475775802,0.030239057540893555,0.013434313711446308,1.0,0.0001,"{'alpha': 1, 'learning_rate_init': 0.0001}",0.8971428571428571,0.8907142857142857,0.8957142857142857,0.8978571428571429,0.9007142857142857,0.8964285714285716,0.0032888184094918213,12
103.91527423858642,10.907633820154892,0.11024990081787109,0.02983727792332944,1.0,0.001,"{'alpha': 1, 'learning_rate_init': 0.001}",0.8914285714285715,0.8921428571428571,0.8985714285714286,0.9107142857142857,0.9021428571428571,0.8989999999999998,0.007094119438820068,11
50.24932284355164,8.967406454179315,0.10772509574890136,0.015800361772617216,1.0,0.01,"{'alpha': 1, 'learning_rate_init': 0.01}",0.8564285714285714,0.16642857142857143,0.9121428571428571,0.8564285714285714,0.8585714285714285,0.73,0.28259078367917123,20
43.06650319099426,11.11768566793862,0.09797272682189942,0.043411810280001205,1.0,0.1,"{'alpha': 1, 'learning_rate_init': 0.1}",0.3078571428571429,0.8571428571428571,0.8564285714285714,0.8571428571428571,0.8571428571428571,0.7471428571428571,0.2196430313588159,18
