mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5960665225982666,0.004335575160671687,0.027675914764404296,0.005544855904149583,3,100,"{'max_depth': 3, 'n_estimators': 100}",0.8578571428571429,0.8571428571428571,0.8585714285714285,0.8607142857142858,0.86,0.8588571428571429,0.0013248026422136951,19
1.002181339263916,0.029756379646405023,0.045072507858276364,0.0005635583708251665,3,200,"{'max_depth': 3, 'n_estimators': 200}",0.8585714285714285,0.8571428571428571,0.8578571428571429,0.86,0.86,0.8587142857142857,0.0011428571428571484,20
1.7877650260925293,0.04619227422818379,0.0651461124420166,0.005127421200994078,3,400,"{'max_depth': 3, 'n_estimators': 400}",0.8578571428571429,0.8571428571428571,0.8578571428571429,0.8592857142857143,0.86,0.8584285714285714,0.0010497813183356574,21
1.0414809703826904,0.014167799113665995,0.028341054916381836,0.005499894700984173,6,100,"{'max_depth': 6, 'n_estimators': 100}",0.8871428571428571,0.885,0.8871428571428571,0.8885714285714286,0.8878571428571429,0.887142857142857,0.0011952286093343948,16
1.8513904571533204,0.03758520620750221,0.04124808311462402,0.005735272913069325,6,200,"{'max_depth': 6, 'n_estimators': 200}",0.8878571428571429,0.8871428571428571,0.8871428571428571,0.8871428571428571,0.8842857142857142,0.8867142857142856,0.0012453996981545033,17
3.5131303310394286,0.07591723043808722,0.06187548637390137,0.005610332836368173,6,400,"{'max_depth': 6, 'n_estimators': 400}",0.8878571428571429,0.8864285714285715,0.8864285714285715,0.885,0.8828571428571429,0.8857142857142858,0.0016903085094570347,18
1.484006690979004,0.026498989940196335,0.030476999282836915,0.005231306894644091,9,100,"{'max_depth': 9, 'n_estimators': 100}",0.9028571428571428,0.9014285714285715,0.9021428571428571,0.9078571428571428,0.9014285714285715,0.9031428571428572,0.0024159335036125088,14
2.7046480655670164,0.043913592323296745,0.0366666316986084,0.0044325590245877546,9,200,"{'max_depth': 9, 'n_estimators': 200}",0.9007142857142857,0.9028571428571428,0.905,0.9057142857142857,0.9021428571428571,0.9032857142857142,0.0018405855323893135,13
5.092430877685547,0.061970562520425695,0.059322357177734375,0.005213049092104733,9,400,"{'max_depth': 9, 'n_estimators': 400}",0.9021428571428571,0.9035714285714286,0.9035714285714286,0.9042857142857142,0.9021428571428571,0.903142857142857,0.0008571428571428527,15
1.8714789390563964,0.03758665772632444,0.03289427757263184,0.004213868586793051,12,100,"{'max_depth': 12, 'n_estimators': 100}",0.9064285714285715,0.91,0.9142857142857143,0.9135714285714286,0.9114285714285715,0.9111428571428573,0.0028066975291983374,10
3.3237767219543457,0.02516557871616882,0.034099245071411134,0.00047422647101616434,12,200,"{'max_depth': 12, 'n_estimators': 200}",0.9064285714285715,0.9114285714285715,0.9078571428571428,0.9128571428571428,0.9085714285714286,0.9094285714285715,0.002364706479606682,11
6.515390014648437,0.037947154156126484,0.05654664039611816,0.0014354410065187625,12,400,"{'max_depth': 12, 'n_estimators': 400}",0.9057142857142857,0.9071428571428571,0.9078571428571428,0.9142857142857143,0.9071428571428571,0.9084285714285715,0.003010186786529349,12
2.1627474784851075,0.01427462619422253,0.03272409439086914,0.00454370476124553,15,100,"{'max_depth': 15, 'n_estimators': 100}",0.9107142857142857,0.9135714285714286,0.9164285714285715,0.9114285714285715,0.9157142857142857,0.9135714285714286,0.002258769757263134,7
3.962787914276123,0.02176232130208001,0.03404245376586914,0.0007426349161256831,15,200,"{'max_depth': 15, 'n_estimators': 200}",0.9092857142857143,0.9142857142857143,0.9157142857142857,0.9135714285714286,0.9135714285714286,0.9132857142857143,0.002147613768338995,8
7.809287452697754,0.0909786672098611,0.05873217582702637,0.004055637255818934,15,400,"{'max_depth': 15, 'n_estimators': 400}",0.9092857142857143,0.915,0.9142857142857143,0.915,0.9107142857142857,0.9128571428571428,0.002390457218668809,9
2.4252686977386473,0.02025343101322299,0.030479860305786134,0.005205514675822164,18,100,"{'max_depth': 18, 'n_estimators': 100}",0.9114285714285715,0.915,0.9157142857142857,0.9164285714285715,0.9178571428571428,0.9152857142857144,0.002147613768338964,4
4.497615814208984,0.0190737788434248,0.04063901901245117,0.00516962907006743,18,200,"{'max_depth': 18, 'n_estimators': 200}",0.9121428571428571,0.915,0.9128571428571428,0.9128571428571428,0.9157142857142857,0.9137142857142857,0.0013850513878332512,5
8.73834981918335,0.019141036905762878,0.05736422538757324,0.004928524547266449,18,400,"{'max_depth': 18, 'n_estimators': 400}",0.9107142857142857,0.9157142857142857,0.9157142857142857,0.9128571428571428,0.9135714285714286,0.9137142857142857,0.0018844151368961354,5
2.645755481719971,0.00941724577281989,0.031321477890014646,0.005347283390718462,21,100,"{'max_depth': 21, 'n_estimators': 100}",0.9107142857142857,0.9178571428571428,0.9185714285714286,0.9164285714285715,0.9178571428571428,0.9162857142857144,0.0028713930346059703,2
4.9515923976898195,0.02884505570499479,0.036744117736816406,0.004309660830728002,21,200,"{'max_depth': 21, 'n_estimators': 200}",0.915,0.9207142857142857,0.9185714285714286,0.9164285714285715,0.9171428571428571,0.9175714285714285,0.0019483116709979637,1
9.630461359024048,0.038571772466038635,0.05592422485351563,0.00122887277976079,21,400,"{'max_depth': 21, 'n_estimators': 400}",0.9121428571428571,0.9192857142857143,0.9192857142857143,0.9157142857142857,0.915,0.9162857142857141,0.002725540575476974,3
